faceit_nickname,faceit_player_id,country,steam_id_64,cs2_skill_level,cs2_faceit_elo,Average K/D Ratio,ADR,Average Headshots %,Win Rate %,Matches,Total Matches,Wins,Recent Results,Current Win Streak,Longest Win Streak,Average K/R Ratio,Entry Success Rate,Entry Rate,Total Entry Count,Total Entry Wins,Utility Damage per Round,Utility Success Rate,Utility Usage per Round,Flash Success Rate,Flashes per Round,Enemies Flashed per Round,Total Utility Damage,Total Enemies Flashed,Total Flash Successes,Total Flash Count,1v1 Win Rate,1v2 Win Rate,Total 1v1 Count,Total 1v1 Wins,Total 1v2 Count,Total 1v2 Wins,Sniper Kill Rate,Sniper Kill Rate per Round,Total Sniper Kills,Total Damage,Total Rounds with extended stats,Total Kills with extended stats,faceit_round_swing_avg,faceit_round_swing_avg_t,faceit_round_swing_avg_ct,faceit_rating,faceit_rating_t,faceit_rating_ct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_damage,avg_rws
JoVi_,afedb1cf-e7f2-48e8-8730-bd6e468ed1a1,br,76561198067083417,8,1666,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Mike7th,4fa7ebe1-6ede-4a90-b975-b8ebc8a781f0,br,76561199491179823,7,1465,0.95,78.84,30.56,56.41,39,39,22,1|1|0|0|1,1,4,0.65,0.5272,0.1944,160,80,8.12,0.3674,0.6649,0.4636,0.7192,0.519,6915,433,287,603,0.4074,0.2353,27,11,17,4,0.0408,0.0285,23,66395,0,550,-0.0067,-0.0179,0.0035,1.0826,1.0637,1.1294,550,14.1,598,15.33,256,6.56,1702.44,9.6876
-Mazzoni,ae329a5d-6843-4281-b2c3-dae18cbed29f,br,76561198279277334,8,1606,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
LaPesteBr,8153d00d-4e44-4646-89b8-ba79ef302fad,be,76561198404853215,9,1861,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
bnilgame,e039371d-f876-464b-a7e7-9d5134f6e21c,br,76561198367233358,6,1235,1.23,80.48,44.77,46.67,30,30,14,0|0|1|1|0,0,2,0.77,0.4793,0.1457,97,46,4.83,0.2917,0.4843,0.468,0.558,0.352,3244,232,170,371,0.2258,0.1724,31,7,29,5,0.0187,0.0143,10,53792,0,511,0.0053,-0.0016,0.0121,1.1438,1.1073,1.1716,511,17.03,459,15.3,166,5.53,1793.07,10.2706
SALAZARR-,70f82a2d-d863-4763-b18a-faa1cee4f713,ie,76561198861823813,10,2012,1.14,78.95,69.75,50.0,106,106,53,1|0|0|0|0,0,7,0.75,0.5108,0.1992,462,246,4.1,0.3321,0.427,0.4817,0.6057,0.4377,9833,1037,698,1434,0.3594,0.268,64,23,97,26,0.0122,0.0091,21,183595,0,1741,0.0053,-0.0083,0.0173,1.1448,1.1048,1.1723,1741,16.42,1604,15.13,460,4.34,1732.03,10.1779
tuca89,6fb741bc-a387-40d6-b24b-29e7d9780853,it,76561197967572421,3,891,0.67,55.5,25.0,0.0,1,1,0,0,0,0,0.5,0.0,0.12,2,0,0.25,0.5,0.12,0.29,0.44,0.25,4,4,2,7,0.0,0.0,1,0,0,0,0.0,0.0,0,888,0,8,-0.1062,-0.1797,-0.0817,0.567,0.7998,0.893,8,8.0,12,12.0,3,3.0,888.0,1.3225
BatmanRessac,ae7371e1-ac6b-4238-b2a2-9a40cd0fe722,br,76561198306850744,9,1753,0.0,0.0,0.0,0.0,0,0,0,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
raphash0w,7e1681ad-280a-4ade-90c5-a01c811e456c,br,76561197989338449,9,1993,1.09,77.98,42.71,50.0,56,56,28,0|1|0|1|0,0,7,0.74,0.5759,0.2457,292,162,3.28,0.2825,0.3237,0.5618,0.4011,0.3279,3801,382,263,473,0.4286,0.1481,21,9,27,4,0.3507,0.27,320,92862,0,874,0.0068,0.0067,0.0131,1.1583,1.1241,1.1767,874,15.61,860,15.36,229,4.09,1658.25,11.3154
fbr,0be3b3ec-babb-4743-8e90-0c58a4f13cf8,ir,76561197966572207,10,2140,1.11,73.78,52.89,51.63,153,153,79,1|1|1|0|1,1,6,0.69,0.5035,0.152,511,267,5.34,0.3301,0.528,0.4259,0.4669,0.2833,17730,958,675,1568,0.325,0.155,120,39,129,20,0.0284,0.0211,69,245314,0,2304,-0.0133,-0.0211,-0.0179,1.0385,1.0553,1.0683,2304,15.06,2196,14.35,727,4.75,1603.36,8.0152
-wickd-,498970e7-b8f1-45b4-92b1-2fffbc932d9a,nl,76561198075189795,9,1982,0.97,76.03,40.63,49.43,87,87,43,0|1|0|0|1,1,5,0.68,0.4767,0.1946,370,187,4.0,0.3244,0.409,0.4667,0.4526,0.3198,7786,614,414,870,0.383,0.2609,47,18,69,18,0.177,0.1215,236,146355,0,1306,-0.0126,-0.0233,-0.0097,1.0476,1.0483,1.0987,1306,15.01,1375,15.8,418,4.8,1682.24,9.0321
