faceit_nickname,faceit_player_id,match_id,game_id,finished_at,started_at,competition_name,match_type,game_mode,max_players,teams_size
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-d2671850-f271-45e4-8c8f-22b37be26217,cs2,1777233979,1777231558,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-e1f1bb4d-a006-47e8-af51-c3a3a0f22ef7,cs2,1777230857,1777228057,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-12acfe5e-2b3b-4724-ac30-7cd19ae38001,cs2,1777225898,1777224141,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-1c8982d3-850b-4296-b54a-fad845f68280,cs2,1777168842,1777166343,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-8a34a7a7-b700-41f6-89bc-fb7b0d2cb6bd,cs2,1777165490,1777163232,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-e1984a86-0013-4edb-ae48-fd75f22152b0,cs2,1777162878,1777160666,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-8aadaef3-d6fa-4d43-a1f6-01d802e98b71,cs2,1777160206,1777157646,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-e4237236-0710-4621-afb5-d48c9e33c375,cs2,1777157336,1777155087,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-b1c7192d-e650-4c0e-aef8-5e083c6d67e3,cs2,1777154654,1777151524,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-a448d812-6e3b-479a-93b7-4ac96ec20d4d,cs2,1777135182,1777133034,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-dc7fde06-e0b9-40e0-ba65-4f3f347e10d7,cs2,1777129417,1777127269,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-aae74574-b50f-4fee-b6a1-adfed6009c41,cs2,1777079839,1777078070,Europe 5v5 Queue,,5v5,10,5
JohnnyPanda,50b900e5-261c-42f1-87ac-51bf6000e0ac,1-c0879808-84ff-4e0a-8fe4-f8c43d52ceca,cs2,1777077653,1777075579,Europe 5v5 Queue,,5v5,10,5
